accession	layout	r1_url	r2_url
DRR150325	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150325/DRR150325_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150325/DRR150325_2.fastq.gz
DRR150339	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150339/DRR150339_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150339/DRR150339_2.fastq.gz
DRR150346	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150346/DRR150346_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150346/DRR150346_2.fastq.gz
DRR150347	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150347/DRR150347_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150347/DRR150347_2.fastq.gz
DRR150413	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150413/DRR150413_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150413/DRR150413_2.fastq.gz
DRR201956	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR201/DRR201956/DRR201956_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR201/DRR201956/DRR201956_2.fastq.gz
ERR024819	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024819/ERR024819_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024819/ERR024819_2.fastq.gz
ERR024824	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024824/ERR024824_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024824/ERR024824_2.fastq.gz
ERR024826	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024826/ERR024826_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024826/ERR024826_2.fastq.gz
ERR024828	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024828/ERR024828_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024828/ERR024828_2.fastq.gz
ERR024833	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024833/ERR024833_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024833/ERR024833_2.fastq.gz
ERR024835	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024835/ERR024835_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024835/ERR024835_2.fastq.gz
ERR024838	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024838/ERR024838_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024838/ERR024838_2.fastq.gz
ERR024841	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024841/ERR024841_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024841/ERR024841_2.fastq.gz
ERR024847	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024847/ERR024847_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024847/ERR024847_2.fastq.gz
ERR024852	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024852/ERR024852_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024852/ERR024852_2.fastq.gz
ERR024853	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024853/ERR024853_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024853/ERR024853_2.fastq.gz
ERR025098	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025098/ERR025098_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025098/ERR025098_2.fastq.gz
ERR025103	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025103/ERR025103_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025103/ERR025103_2.fastq.gz
ERR025104	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025104/ERR025104_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025104/ERR025104_2.fastq.gz
ERR025112	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025112/ERR025112_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025112/ERR025112_2.fastq.gz
ERR025113	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025113/ERR025113_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025113/ERR025113_2.fastq.gz
ERR025114	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025114/ERR025114_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025114/ERR025114_2.fastq.gz
ERR025118	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025118/ERR025118_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025118/ERR025118_2.fastq.gz
ERR025119	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025119/ERR025119_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025119/ERR025119_2.fastq.gz
ERR025126	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025126/ERR025126_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025126/ERR025126_2.fastq.gz
ERR025128	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025128/ERR025128_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025128/ERR025128_2.fastq.gz
ERR025131	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025131/ERR025131_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025131/ERR025131_2.fastq.gz
ERR025134	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025134/ERR025134_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025134/ERR025134_2.fastq.gz
ERR025135	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025135/ERR025135_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025135/ERR025135_2.fastq.gz
ERR025138	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025138/ERR025138_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025138/ERR025138_2.fastq.gz
ERR025140	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025140/ERR025140_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025140/ERR025140_2.fastq.gz
ERR025142	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025142/ERR025142_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025142/ERR025142_2.fastq.gz
ERR025144	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025144/ERR025144_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025144/ERR025144_2.fastq.gz
ERR025146	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025146/ERR025146_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025146/ERR025146_2.fastq.gz
ERR025147	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025147/ERR025147_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025147/ERR025147_2.fastq.gz
ERR025148	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025148/ERR025148_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025148/ERR025148_2.fastq.gz
ERR025151	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025151/ERR025151_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025151/ERR025151_2.fastq.gz
ERR025153	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025153/ERR025153_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025153/ERR025153_2.fastq.gz
ERR025157	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025157/ERR025157_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025157/ERR025157_2.fastq.gz
ERR025161	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025161/ERR025161_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025161/ERR025161_2.fastq.gz
ERR025462	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025462/ERR025462_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025462/ERR025462_2.fastq.gz
ERR025470	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025470/ERR025470_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025470/ERR025470_2.fastq.gz
ERR025473	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025473/ERR025473_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025473/ERR025473_2.fastq.gz
ERR025483	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025483/ERR025483_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025483/ERR025483_2.fastq.gz
ERR025484	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025484/ERR025484_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025484/ERR025484_2.fastq.gz
ERR025485	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025485/ERR025485_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025485/ERR025485_2.fastq.gz
ERR025486	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025486/ERR025486_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025486/ERR025486_2.fastq.gz
ERR025489	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025489/ERR025489_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025489/ERR025489_2.fastq.gz
ERR025491	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025491/ERR025491_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025491/ERR025491_2.fastq.gz
ERR025492	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025492/ERR025492_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025492/ERR025492_2.fastq.gz
ERR025495	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025495/ERR025495_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025495/ERR025495_2.fastq.gz
