accession	layout	r1_url	r2_url
DRR150325	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150325/DRR150325_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150325/DRR150325_2.fastq.gz
DRR150339	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150339/DRR150339_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150339/DRR150339_2.fastq.gz
DRR150413	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150413/DRR150413_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR150/DRR150413/DRR150413_2.fastq.gz
ERR024819	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024819/ERR024819_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024819/ERR024819_2.fastq.gz
ERR024833	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024833/ERR024833_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024833/ERR024833_2.fastq.gz
ERR024835	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024835/ERR024835_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024835/ERR024835_2.fastq.gz
ERR024847	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024847/ERR024847_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024847/ERR024847_2.fastq.gz
ERR024852	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024852/ERR024852_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024852/ERR024852_2.fastq.gz
ERR025103	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025103/ERR025103_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025103/ERR025103_2.fastq.gz
ERR025104	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025104/ERR025104_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025104/ERR025104_2.fastq.gz
ERR025113	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025113/ERR025113_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025113/ERR025113_2.fastq.gz
ERR025114	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025114/ERR025114_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025114/ERR025114_2.fastq.gz
ERR025118	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025118/ERR025118_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025118/ERR025118_2.fastq.gz
ERR025119	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025119/ERR025119_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025119/ERR025119_2.fastq.gz
ERR025126	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025126/ERR025126_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025126/ERR025126_2.fastq.gz
ERR025131	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025131/ERR025131_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025131/ERR025131_2.fastq.gz
ERR025134	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025134/ERR025134_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025134/ERR025134_2.fastq.gz
ERR025138	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025138/ERR025138_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025138/ERR025138_2.fastq.gz
ERR025140	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025140/ERR025140_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025140/ERR025140_2.fastq.gz
ERR025142	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025142/ERR025142_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025142/ERR025142_2.fastq.gz
ERR025473	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025473/ERR025473_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025473/ERR025473_2.fastq.gz
ERR025486	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025486/ERR025486_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025486/ERR025486_2.fastq.gz
ERR025489	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025489/ERR025489_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025489/ERR025489_2.fastq.gz
ERR025492	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025492/ERR025492_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025492/ERR025492_2.fastq.gz
ERR025495	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025495/ERR025495_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025495/ERR025495_2.fastq.gz
ERR025497	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025497/ERR025497_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025497/ERR025497_2.fastq.gz
ERR025502	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025502/ERR025502_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025502/ERR025502_2.fastq.gz
ERR025511	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025511/ERR025511_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025511/ERR025511_2.fastq.gz
ERR025521	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025521/ERR025521_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025521/ERR025521_2.fastq.gz
ERR025522	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025522/ERR025522_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025522/ERR025522_2.fastq.gz
ERR025531	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025531/ERR025531_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025531/ERR025531_2.fastq.gz
ERR025536	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025536/ERR025536_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025536/ERR025536_2.fastq.gz
ERR025543	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025543/ERR025543_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025543/ERR025543_2.fastq.gz
ERR025549	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025549/ERR025549_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025549/ERR025549_2.fastq.gz
ERR025553	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025553/ERR025553_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025553/ERR025553_2.fastq.gz
ERR025558	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025558/ERR025558_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025558/ERR025558_2.fastq.gz
ERR025560	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025560/ERR025560_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025560/ERR025560_2.fastq.gz
ERR025563	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025563/ERR025563_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025563/ERR025563_2.fastq.gz
ERR025582	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025582/ERR025582_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025582/ERR025582_2.fastq.gz
ERR025590	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025590/ERR025590_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025590/ERR025590_2.fastq.gz
ERR025596	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025596/ERR025596_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025596/ERR025596_2.fastq.gz
ERR025599	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025599/ERR025599_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025599/ERR025599_2.fastq.gz
ERR025602	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025602/ERR025602_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025602/ERR025602_2.fastq.gz
ERR025603	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025603/ERR025603_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025603/ERR025603_2.fastq.gz
ERR025606	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025606/ERR025606_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025606/ERR025606_2.fastq.gz
ERR025607	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025607/ERR025607_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025607/ERR025607_2.fastq.gz
ERR025610	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025610/ERR025610_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025610/ERR025610_2.fastq.gz
ERR025614	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025614/ERR025614_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025614/ERR025614_2.fastq.gz
ERR025632	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025632/ERR025632_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025632/ERR025632_2.fastq.gz
ERR025637	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025637/ERR025637_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025637/ERR025637_2.fastq.gz
ERR025640	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025640/ERR025640_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025640/ERR025640_2.fastq.gz
ERR025641	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025641/ERR025641_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR025/ERR025641/ERR025641_2.fastq.gz
